case_id,v1_pred_actions,v2_pred_actions,v1_canonical_bag_f1,v2_canonical_bag_f1,delta_bag_v1_minus_v2,v1_package_family_f1,v2_package_family_f1,delta_family_v1_minus_v2,v1_worfbench_edge_f1,v2_worfbench_edge_f1,delta_edge_v1_minus_v2,note
03_0131_currency-rate---oanda,9,16,0.0,0.06557377049180328,-0.06557377049180328,0.14814814814814814,0.1639344262295082,-0.015786278081360072,0.3461538461538461,0.5423728813559321,-0.196219035202086,turnAnalyze fallback
08_0137_sendemailusingsmtp-demo,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,
11_0167_outlook-email-notifier,8,13,0.0,0.21621621621621623,-0.21621621621621623,0.25,0.32432432432432434,-0.07432432432432434,0.48484848484848486,0.6842105263157894,-0.19936204146730452,
04_0176_global-exchange-currency-rate,9,13,0.0,0.2702702702702703,-0.2702702702702703,0.18181818181818182,0.3783783783783784,-0.19656019656019658,0.5294117647058825,0.6842105263157894,-0.1547987616099069,
06_0224_extracttablesfrompdftocsv,5,6,0.0,0.25,-0.25,0.0,0.25,-0.25,0.5882352941176471,0.6666666666666665,-0.07843137254901944,
07_0225_extracttablefromwordtocsv,6,9,0.0,0.2105263157894737,-0.2105263157894737,0.0,0.2105263157894737,-0.2105263157894737,0.6666666666666665,0.8571428571428572,-0.1904761904761907,
09_0245_merge-multiple-csv-files,4,7,0.0606060606060606,0.05555555555555555,0.005050505050505048,0.1212121212121212,0.1111111111111111,0.010101010101010097,0.27586206896551724,0.43750000000000006,-0.16163793103448282,
10_0302_a2019-get-current-exchange-rate,6,13,0.08333333333333333,0.3870967741935484,-0.30376344086021506,0.25,0.5161290322580646,-0.2661290322580646,0.5,0.8387096774193549,-0.33870967741935487,
01_0374_createprojectinjirausingapi,8,12,0.0,0.13793103448275862,-0.13793103448275862,0.07999999999999999,0.41379310344827586,-0.33379310344827584,0.64,0.8275862068965517,-0.1875862068965517,
05_0393_a2019-twilio-integration,7,16,0.037037037037037035,0.06349206349206349,-0.026455026455026454,0.14814814814814814,0.15873015873015872,-0.010582010582010581,0.28571428571428575,0.5517241379310345,-0.2660098522167487,
13_0410_a2019-invoicely-assistant,8,13,0.0,0.09090909090909091,-0.09090909090909091,0.15384615384615383,0.09090909090909091,0.06293706293706292,0.42105263157894735,0.6046511627906977,-0.1835985312117504,
02_0419_sendbulkemailswithtemplate,13,13,0.0,0.08823529411764705,-0.08823529411764705,0.0588235294117647,0.20588235294117643,-0.14705882352941174,0.4126984126984127,0.4126984126984127,0.0,
