agent_action,agent_count,gold_action,gold_count,gold_cases,candidate_status,already_accepted,was_previously_reviewed,agent_canonical,gold_canonical,agent_family,gold_family,semantic_overlap,name_similarity,combined_score
Browser.browserPackageOpenAction,1,Browser.launchWebsite,2,12_0338_lettergenerationbot;13_0410_a2019-invoicely-assistant,accepted_rule,True,False,Browser.launchWebsite,Browser.launchWebsite,browser,browser,open,0.1622,1.0
Browser.browserPackageOpenAction,1,Browser.openbrowser,1,04_0176_global-exchange-currency-rate,accepted_rule,True,False,Browser.launchWebsite,Browser.launchWebsite,browser,browser,open,0.4,1.0
Browser.browserPackageOpenAction,1,WebAutomation.openpage,1,03_0131_currency-rate---oanda,accepted_rule,True,False,Browser.launchWebsite,Browser.launchWebsite,browser,browser,open,0.3125,1.0
Excel advanced.cloudExcelOpen,1,Excel.OpenSpreadsheet,2,02_0419_sendbulkemailswithtemplate,accepted_rule,True,True,Excel advanced.cloudExcelOpen,Excel advanced.cloudExcelOpen,excel,excel,open,0.2759,1.0
Excel advanced.cloudExcelOpen,1,Excel_MS.OpenSpreadsheet,5,01_0374_createprojectinjirausingapi;03_0131_currency-rate---oanda;04_0176_global-exchange-currency-rate;11_0167_outlook-email-notifier;13_0410_a2019-invoicely-assistant,accepted_rule,True,False,Excel advanced.cloudExcelOpen,Excel advanced.cloudExcelOpen,excel,excel,open,0.2759,1.0
Excel advanced.excelAdvancedPackageCloseAction,1,Excel_MS.CloseSpreadsheet,3,01_0374_createprojectinjirausingapi;03_0131_currency-rate---oanda;11_0167_outlook-email-notifier,accepted_rule,True,False,Excel advanced.excelAdvancedPackageCloseAction,Excel advanced.excelAdvancedPackageCloseAction,excel,excel,close,0.2979,1.0
Excel advanced.excelAdvancedPackageReadRowAction,1,Excel_MS.readExcelRow,3,11_0167_outlook-email-notifier,accepted_rule,True,False,Excel advanced.excelAdvancedPackageReadRowAction,Excel advanced.excelAdvancedPackageReadRowAction,excel,excel,read,0.3556,1.0
Excel advanced.excelAdvancedPackageSetCellAction,1,Excel.SetCell,2,02_0419_sendbulkemailswithtemplate,accepted_rule,True,True,Excel advanced.excelAdvancedPackageSetCellAction,Excel advanced.excelAdvancedPackageSetCellAction,excel,excel,write,0.35,1.0
Excel advanced.excelAdvancedPackageSetCellAction,1,Excel_MS.SetCell,3,03_0131_currency-rate---oanda;04_0176_global-exchange-currency-rate,accepted_rule,True,False,Excel advanced.excelAdvancedPackageSetCellAction,Excel advanced.excelAdvancedPackageSetCellAction,excel,excel,write,0.35,1.0
